difficulty,index,method,psnr,ssim,preparation,reference_size,candidate_size
easy,24,tsrn,23.4023,0.684,canonical_128x32,128x32,128x32
easy,25,bicubic,35.0375,0.9436,64x16_bicubic_to_128x32,128x32,128x32
easy,25,realesrgan,35.4988,0.928,canonical_128x32,128x32,128x32
easy,25,tsrn,23.1643,0.7146,canonical_128x32,128x32,128x32
easy,26,bicubic,34.4874,0.9422,64x16_bicubic_to_128x32,128x32,128x32
easy,26,realesrgan,34.7139,0.922,canonical_128x32,128x32,128x32
easy,26,tsrn,20.025,0.6593,canonical_128x32,128x32,128x32
easy,27,bicubic,30.9952,0.8477,64x16_bicubic_to_128x32,128x32,128x32
easy,27,realesrgan,31.0542,0.8293,canonical_128x32,128x32,128x32
easy,27,tsrn,22.5479,0.5917,canonical_128x32,128x32,128x32
easy,28,bicubic,34.0549,0.9327,64x16_bicubic_to_128x32,128x32,128x32
easy,28,realesrgan,33.1902,0.8751,canonical_128x32,128x32,128x32
easy,28,tsrn,22.6528,0.7049,canonical_128x32,128x32,128x32
easy,29,bicubic,33.9146,0.9369,64x16_bicubic_to_128x32,128x32,128x32
easy,29,realesrgan,36.2975,0.937,canonical_128x32,128x32,128x32
easy,29,tsrn,24.1957,0.7924,canonical_128x32,128x32,128x32
easy,30,bicubic,28.6318,0.7169,64x16_bicubic_to_128x32,128x32,128x32
easy,30,realesrgan,21.7884,0.461,canonical_128x32,128x32,128x32
easy,30,tsrn,25.7473,0.6442,canonical_128x32,128x32,128x32
easy,31,bicubic,33.6673,0.9028,64x16_bicubic_to_128x32,128x32,128x32
easy,31,realesrgan,23.3297,0.5792,canonical_128x32,128x32,128x32
easy,31,tsrn,27.0378,0.8278,canonical_128x32,128x32,128x32
easy,32,bicubic,28.5402,0.785,64x16_bicubic_to_128x32,128x32,128x32
easy,32,realesrgan,22.2745,0.5931,canonical_128x32,128x32,128x32
easy,32,tsrn,25.4884,0.7235,canonical_128x32,128x32,128x32
easy,33,bicubic,32.3249,0.8756,64x16_bicubic_to_128x32,128x32,128x32
easy,33,realesrgan,29.2914,0.8228,canonical_128x32,128x32,128x32
easy,33,tsrn,29.7013,0.8346,canonical_128x32,128x32,128x32
easy,34,bicubic,29.3994,0.8034,64x16_bicubic_to_128x32,128x32,128x32
easy,34,realesrgan,27.443,0.7506,canonical_128x32,128x32,128x32
easy,34,tsrn,26.9299,0.7753,canonical_128x32,128x32,128x32
easy,35,bicubic,29.6199,0.777,64x16_bicubic_to_128x32,128x32,128x32
easy,35,realesrgan,27.1922,0.6823,canonical_128x32,128x32,128x32
easy,35,tsrn,26.2827,0.6732,canonical_128x32,128x32,128x32
easy,36,bicubic,23.877,0.6668,64x16_bicubic_to_128x32,128x32,128x32
easy,36,realesrgan,22.2411,0.5793,canonical_128x32,128x32,128x32
easy,36,tsrn,25.3921,0.7531,canonical_128x32,128x32,128x32
easy,37,bicubic,25.5976,0.7349,64x16_bicubic_to_128x32,128x32,128x32
easy,37,realesrgan,22.6751,0.5556,canonical_128x32,128x32,128x32
easy,37,tsrn,25.4941,0.7631,canonical_128x32,128x32,128x32
easy,38,bicubic,24.6479,0.673,64x16_bicubic_to_128x32,128x32,128x32
easy,38,realesrgan,19.5085,0.4127,canonical_128x32,128x32,128x32
easy,38,tsrn,25.4071,0.7583,canonical_128x32,128x32,128x32
easy,39,bicubic,25.2993,0.7074,64x16_bicubic_to_128x32,128x32,128x32
easy,39,realesrgan,23.8379,0.6082,canonical_128x32,128x32,128x32
easy,39,tsrn,26.2955,0.7821,canonical_128x32,128x32,128x32
easy,40,bicubic,23.7664,0.7524,64x16_bicubic_to_128x32,128x32,128x32
easy,40,realesrgan,20.0336,0.6834,canonical_128x32,128x32,128x32
easy,40,tsrn,26.7798,0.91,canonical_128x32,128x32,128x32
easy,41,bicubic,24.3469,0.7393,64x16_bicubic_to_128x32,128x32,128x32
easy,41,realesrgan,20.0537,0.6227,canonical_128x32,128x32,128x32
easy,41,tsrn,25.9802,0.8612,canonical_128x32,128x32,128x32
easy,42,bicubic,23.8922,0.7374,64x16_bicubic_to_128x32,128x32,128x32
easy,42,realesrgan,20.554,0.6214,canonical_128x32,128x32,128x32
easy,42,tsrn,25.666,0.8321,canonical_128x32,128x32,128x32
easy,43,bicubic,24.7513,0.7576,64x16_bicubic_to_128x32,128x32,128x32
easy,43,realesrgan,21.7762,0.6632,canonical_128x32,128x32,128x32
easy,43,tsrn,27.1935,0.8541,canonical_128x32,128x32,128x32
easy,44,bicubic,27.3578,0.7496,64x16_bicubic_to_128x32,128x32,128x32
easy,44,realesrgan,24.913,0.6518,canonical_128x32,128x32,128x32
easy,44,tsrn,27.3056,0.7757,canonical_128x32,128x32,128x32
easy,45,bicubic,31.1173,0.8154,64x16_bicubic_to_128x32,128x32,128x32
easy,45,realesrgan,27.4701,0.697,canonical_128x32,128x32,128x32
easy,45,tsrn,29.7162,0.8512,canonical_128x32,128x32,128x32
easy,46,bicubic,30.3861,0.791,64x16_bicubic_to_128x32,128x32,128x32
easy,46,realesrgan,27.2495,0.6802,canonical_128x32,128x32,128x32
easy,46,tsrn,29.7369,0.8521,canonical_128x32,128x32,128x32
easy,47,bicubic,27.5294,0.7849,64x16_bicubic_to_128x32,128x32,128x32
easy,47,realesrgan,24.5957,0.6775,canonical_128x32,128x32,128x32
easy,47,tsrn,28.545,0.8266,canonical_128x32,128x32,128x32
easy,48,bicubic,24.1747,0.7351,64x16_bicubic_to_128x32,128x32,128x32
easy,48,realesrgan,21.0869,0.6253,canonical_128x32,128x32,128x32
easy,48,tsrn,26.8814,0.8453,canonical_128x32,128x32,128x32
easy,49,bicubic,24.3543,0.7417,64x16_bicubic_to_128x32,128x32,128x32
easy,49,realesrgan,20.588,0.6173,canonical_128x32,128x32,128x32
easy,49,tsrn,27.3338,0.864,canonical_128x32,128x32,128x32
easy,50,bicubic,23.5758,0.7502,64x16_bicubic_to_128x32,128x32,128x32
easy,50,realesrgan,19.0825,0.6394,canonical_128x32,128x32,128x32
easy,50,tsrn,27.8963,0.9248,canonical_128x32,128x32,128x32
easy,51,bicubic,23.9583,0.7607,64x16_bicubic_to_128x32,128x32,128x32
easy,51,realesrgan,19.0661,0.6348,canonical_128x32,128x32,128x32
easy,51,tsrn,27.2501,0.9219,canonical_128x32,128x32,128x32
easy,52,bicubic,24.3787,0.74,64x16_bicubic_to_128x32,128x32,128x32
easy,52,realesrgan,20.7763,0.6255,canonical_128x32,128x32,128x32
easy,52,tsrn,27.1411,0.8744,canonical_128x32,128x32,128x32
easy,53,bicubic,25.2895,0.7587,64x16_bicubic_to_128x32,128x32,128x32
easy,53,realesrgan,21.4935,0.6428,canonical_128x32,128x32,128x32
easy,53,tsrn,26.5846,0.8326,canonical_128x32,128x32,128x32
easy,54,bicubic,25.2626,0.744,64x16_bicubic_to_128x32,128x32,128x32
easy,54,realesrgan,21.7115,0.5946,canonical_128x32,128x32,128x32
easy,54,tsrn,26.8899,0.8253,canonical_128x32,128x32,128x32
easy,55,bicubic,29.255,0.7498,64x16_bicubic_to_128x32,128x32,128x32
easy,55,realesrgan,26.4426,0.6309,canonical_128x32,128x32,128x32
easy,55,tsrn,27.9683,0.7274,canonical_128x32,128x32,128x32
easy,56,bicubic,32.8101,0.8238,64x16_bicubic_to_128x32,128x32,128x32
easy,56,realesrgan,29.8921,0.7221,canonical_128x32,128x32,128x32
easy,56,tsrn,28.9441,0.7779,canonical_128x32,128x32,128x32
easy,57,bicubic,30.929,0.7906,64x16_bicubic_to_128x32,128x32,128x32
easy,57,realesrgan,27.2368,0.6493,canonical_128x32,128x32,128x32
easy,57,tsrn,28.8868,0.7816,canonical_128x32,128x32,128x32
easy,58,bicubic,28.3398,0.7795,64x16_bicubic_to_128x32,128x32,128x32
easy,58,realesrgan,25.2313,0.6363,canonical_128x32,128x32,128x32
easy,58,tsrn,27.0537,0.8033,canonical_128x32,128x32,128x32
easy,59,bicubic,23.9921,0.7268,64x16_bicubic_to_128x32,128x32,128x32
easy,59,realesrgan,20.4762,0.5776,canonical_128x32,128x32,128x32
easy,59,tsrn,25.966,0.8251,canonical_128x32,128x32,128x32
easy,60,bicubic,24.6071,0.7485,64x16_bicubic_to_128x32,128x32,128x32
easy,60,realesrgan,21.2428,0.6306,canonical_128x32,128x32,128x32
easy,60,tsrn,27.5235,0.8718,canonical_128x32,128x32,128x32
easy,61,bicubic,23.548,0.7407,64x16_bicubic_to_128x32,128x32,128x32
easy,61,realesrgan,19.7151,0.621,canonical_128x32,128x32,128x32
