difficulty,image_name,psnr,ssim,alignment
easy,easy_078_lr_sr.png,27.2695,0.6131,bicubic_to_hr
easy,easy_079_lr_sr.png,31.2532,0.7106,bicubic_to_hr
easy,easy_080_lr_sr.png,30.5023,0.6877,bicubic_to_hr
easy,easy_081_lr_sr.png,24.0473,0.7537,bicubic_to_hr
easy,easy_082_lr_sr.png,25.3499,0.7339,bicubic_to_hr
easy,easy_083_lr_sr.png,24.3634,0.7009,bicubic_to_hr
easy,easy_084_lr_sr.png,23.095,0.6496,bicubic_to_hr
easy,easy_085_lr_sr.png,28.1099,0.6868,bicubic_to_hr
easy,easy_086_lr_sr.png,28.2973,0.6476,bicubic_to_hr
easy,easy_087_lr_sr.png,31.5906,0.7603,bicubic_to_hr
easy,easy_088_lr_sr.png,26.2113,0.6526,bicubic_to_hr
easy,easy_089_lr_sr.png,28.833,0.6393,bicubic_to_hr
easy,easy_090_lr_sr.png,25.4456,0.5646,bicubic_to_hr
easy,easy_091_lr_sr.png,29.988,0.6737,bicubic_to_hr
easy,easy_092_lr_sr.png,30.4972,0.6918,bicubic_to_hr
easy,easy_093_lr_sr.png,26.9622,0.6598,bicubic_to_hr
easy,easy_094_lr_sr.png,27.2422,0.6077,bicubic_to_hr
easy,easy_095_lr_sr.png,24.533,0.5954,bicubic_to_hr
easy,easy_096_lr_sr.png,29.8007,0.6934,bicubic_to_hr
easy,easy_097_lr_sr.png,23.2535,0.6841,bicubic_to_hr
easy,easy_098_lr_sr.png,31.6764,0.7704,bicubic_to_hr
easy,easy_099_lr_sr.png,28.0079,0.5876,bicubic_to_hr
easy,easy_100_lr_sr.png,30.6711,0.701,bicubic_to_hr
medium,medium_001_lr_sr.png,16.5359,0.6175,bicubic_to_hr
medium,medium_002_lr_sr.png,17.8439,0.5554,bicubic_to_hr
medium,medium_003_lr_sr.png,17.5181,0.5547,bicubic_to_hr
medium,medium_004_lr_sr.png,16.3766,0.4448,bicubic_to_hr
medium,medium_005_lr_sr.png,17.8416,0.5661,bicubic_to_hr
medium,medium_006_lr_sr.png,17.1937,0.4995,bicubic_to_hr
medium,medium_007_lr_sr.png,16.7308,0.595,bicubic_to_hr
medium,medium_008_lr_sr.png,13.4625,0.5646,bicubic_to_hr
medium,medium_009_lr_sr.png,14.7038,0.5077,bicubic_to_hr
medium,medium_010_lr_sr.png,16.7569,0.6489,bicubic_to_hr
medium,medium_011_lr_sr.png,16.7454,0.6701,bicubic_to_hr
medium,medium_012_lr_sr.png,18.3801,0.5603,bicubic_to_hr
medium,medium_013_lr_sr.png,15.3511,0.6211,bicubic_to_hr
medium,medium_014_lr_sr.png,17.6965,0.5896,bicubic_to_hr
medium,medium_015_lr_sr.png,18.447,0.6246,bicubic_to_hr
medium,medium_016_lr_sr.png,16.6907,0.626,bicubic_to_hr
medium,medium_017_lr_sr.png,20.9114,0.6191,bicubic_to_hr
medium,medium_018_lr_sr.png,16.9663,0.6614,bicubic_to_hr
medium,medium_019_lr_sr.png,21.4446,0.6058,bicubic_to_hr
medium,medium_020_lr_sr.png,16.2104,0.6744,bicubic_to_hr
medium,medium_021_lr_sr.png,20.2986,0.5757,bicubic_to_hr
medium,medium_022_lr_sr.png,16.5302,0.5798,bicubic_to_hr
medium,medium_023_lr_sr.png,16.3508,0.6496,bicubic_to_hr
medium,medium_024_lr_sr.png,19.9676,0.5721,bicubic_to_hr
medium,medium_025_lr_sr.png,16.4544,0.6455,bicubic_to_hr
medium,medium_026_lr_sr.png,20.1946,0.6149,bicubic_to_hr
medium,medium_027_lr_sr.png,16.6025,0.6475,bicubic_to_hr
medium,medium_028_lr_sr.png,19.5776,0.6127,bicubic_to_hr
medium,medium_029_lr_sr.png,16.3247,0.5955,bicubic_to_hr
medium,medium_030_lr_sr.png,20.1195,0.5861,bicubic_to_hr
medium,medium_031_lr_sr.png,16.2101,0.5742,bicubic_to_hr
medium,medium_032_lr_sr.png,19.9464,0.5794,bicubic_to_hr
medium,medium_033_lr_sr.png,15.9418,0.5751,bicubic_to_hr
medium,medium_034_lr_sr.png,19.3056,0.5154,bicubic_to_hr
medium,medium_035_lr_sr.png,16.2343,0.593,bicubic_to_hr
medium,medium_036_lr_sr.png,19.8744,0.5388,bicubic_to_hr
medium,medium_037_lr_sr.png,16.0824,0.566,bicubic_to_hr
medium,medium_038_lr_sr.png,18.8637,0.4944,bicubic_to_hr
medium,medium_039_lr_sr.png,16.6436,0.6393,bicubic_to_hr
medium,medium_040_lr_sr.png,19.295,0.5076,bicubic_to_hr
medium,medium_041_lr_sr.png,16.3196,0.5632,bicubic_to_hr
medium,medium_042_lr_sr.png,19.7117,0.4938,bicubic_to_hr
medium,medium_043_lr_sr.png,15.9136,0.5645,bicubic_to_hr
medium,medium_044_lr_sr.png,16.8663,0.5695,bicubic_to_hr
medium,medium_045_lr_sr.png,20.7393,0.567,bicubic_to_hr
medium,medium_046_lr_sr.png,17.2322,0.5721,bicubic_to_hr
