difficulty,num_images,mean_psnr,std_psnr,mean_ssim,std_ssim
easy,100,26.4624,3.2918,0.7288,0.0824
medium,100,18.0417,1.9274,0.5663,0.0457
hard,100,21.3872,2.3403,0.6058,0.0963
overall,300,21.9638,4.3198,0.6336,0.1041
